Column;Category;Encoding
COLE_CALENDARIO;A;0
COLE_CALENDARIO;B;1
COLE_JORNADA;COMPLETA;0
COLE_JORNADA;MANANA;1
COLE_JORNADA;NOCHE;2
COLE_JORNADA;SABATINA;3
COLE_JORNADA;TARDE;4
COLE_JORNADA;UNICA;5
FAMI_NUMLIBROS;0 A 10 LIBROS;0
FAMI_NUMLIBROS;11 A 25 LIBROS;1
FAMI_NUMLIBROS;26 A 100 LIBROS;2
FAMI_NUMLIBROS;MAS DE 100 LIBROS;3
COLE_CARACTER;ACADEMICO;0
COLE_CARACTER;NO APLICA;1
COLE_CARACTER;TECNICO;2
COLE_CARACTER;TECNICO/ACADEMICO;3
COLE_BILINGUE;N;0
COLE_BILINGUE;S;1
FAMI_EDUCACIONMADRE;Educacion profesional completa;0
FAMI_EDUCACIONMADRE;Educacion profesional incompleta;1
FAMI_EDUCACIONMADRE;Ninguno;2
FAMI_EDUCACIONMADRE;No Aplica;3
FAMI_EDUCACIONMADRE;No sabe;4
FAMI_EDUCACIONMADRE;Postgrado;5
FAMI_EDUCACIONMADRE;Primaria completa;6
FAMI_EDUCACIONMADRE;Primaria incompleta;7
FAMI_EDUCACIONMADRE;Secundaria (Bachillerato) completa;8
FAMI_EDUCACIONMADRE;Secundaria (Bachillerato) incompleta;9
FAMI_EDUCACIONMADRE;Tecnica o tecnologica completa;10
FAMI_EDUCACIONMADRE;Tecnica o tecnologica incompleta;11
FAMI_ESTRATOVIVIENDA;Estrato 1;0
FAMI_ESTRATOVIVIENDA;Estrato 2;1
FAMI_ESTRATOVIVIENDA;Estrato 3;2
FAMI_ESTRATOVIVIENDA;Estrato 4;3
FAMI_ESTRATOVIVIENDA;Estrato 5;4
FAMI_ESTRATOVIVIENDA;Estrato 6;5
FAMI_ESTRATOVIVIENDA;Sin Estrato;6
ESTU_GENERO;F;0
ESTU_GENERO;M;1
FAMI_TIENEMOTOCICLETA;No;0
FAMI_TIENEMOTOCICLETA;Si;1
FAMI_EDUCACIONPADRE;Educacion profesional completa;0
FAMI_EDUCACIONPADRE;Educacion profesional incompleta;1
FAMI_EDUCACIONPADRE;Ninguno;2
FAMI_EDUCACIONPADRE;No Aplica;3
FAMI_EDUCACIONPADRE;No sabe;4
FAMI_EDUCACIONPADRE;Postgrado;5
FAMI_EDUCACIONPADRE;Primaria completa;6
FAMI_EDUCACIONPADRE;Primaria incompleta;7
FAMI_EDUCACIONPADRE;Secundaria (Bachillerato) completa;8
FAMI_EDUCACIONPADRE;Secundaria (Bachillerato) incompleta;9
FAMI_EDUCACIONPADRE;Tecnica o tecnologica completa;10
FAMI_EDUCACIONPADRE;Tecnica o tecnologica incompleta;11
FAMI_TIENEAUTOMOVIL;No;0
FAMI_TIENEAUTOMOVIL;Si;1
ESTU_HORASSEMANATRABAJA;No_trabaja;0
ESTU_HORASSEMANATRABAJA;Entre 11 y 20 horas;1
ESTU_HORASSEMANATRABAJA;Entre 21 y 30 horas;2
ESTU_HORASSEMANATRABAJA;Menos de 10 horas;3
ESTU_HORASSEMANATRABAJA;Mas de 30 horas;4
FAMI_TIENECOMPUTADOR;No;0
FAMI_TIENECOMPUTADOR;Si;1
FAMI_COMECARNEPESCADOHUEVO;1 o 2 veces por semana;0
FAMI_COMECARNEPESCADOHUEVO;3 a 5 veces por semana;1
FAMI_COMECARNEPESCADOHUEVO;Nunca o rara vez comemos eso;2
FAMI_COMECARNEPESCADOHUEVO;Todos o casi todos los dias;3
ESTU_DEDICACIONLECTURADIARIA;30 minutos o menos;0
ESTU_DEDICACIONLECTURADIARIA;Entre 1 y 2 horas;1
ESTU_DEDICACIONLECTURADIARIA;Entre 30 y 60 minutos;2
ESTU_DEDICACIONLECTURADIARIA;Mas de 2 horas;3
ESTU_DEDICACIONLECTURADIARIA;No leo por entretenimiento;4
ESTU_TIPODOCUMENTO;CC;0
ESTU_TIPODOCUMENTO;CE;1
ESTU_TIPODOCUMENTO;CR;2
ESTU_TIPODOCUMENTO;NES;3
ESTU_TIPODOCUMENTO;PC;4
ESTU_TIPODOCUMENTO;PE;5
ESTU_TIPODOCUMENTO;PEP;6
ESTU_TIPODOCUMENTO;PET;7
ESTU_TIPODOCUMENTO;PPT;8
ESTU_TIPODOCUMENTO;TI;9
FAMI_SITUACIONECONOMICA;Igual;0
FAMI_SITUACIONECONOMICA;Mejor;1
FAMI_SITUACIONECONOMICA;Peor;2
FAMI_COMELECHEDERIVADOS;1 o 2 veces por semana;0
FAMI_COMELECHEDERIVADOS;3 a 5 veces por semana;1
FAMI_COMELECHEDERIVADOS;Nunca o rara vez comemos eso;2
FAMI_COMELECHEDERIVADOS;Todos o casi todos los dias;3
FAMI_TIENEINTERNET;No;0
FAMI_TIENEINTERNET;Si;1
